datetime,species,block,treatment ,pot,height_cm,leaves_nodes,position
27/07/2018,cotton,5,Cashido,45,11,6,North_South
27/07/2018,cotton,6,Solari,46,10,6,South_North
27/07/2018,cotton,6,Tap,47,12,6,South_North
27/07/2018,cotton,6,Cashido,48,13,6,South_North
27/07/2018,cotton,7,Solari,49,13,6,South_North
27/07/2018,cotton,7,Tap,50,13,6,South_North
27/07/2018,cotton,7,Cashido,51,12,6,South_North
27/07/2018,cotton,8,Solari,52,12,6,South_North
27/07/2018,cotton,8,Tap,53,13,6,South_North
27/07/2018,cotton,8,Cashido,54,12,6,South_North
27/07/2018,cotton,9,Solari,55,12,6,South_North
27/07/2018,cotton,9,Tap,56,13,6,South_North
27/07/2018,cotton,9,Cashido,57,12,5,South_North
27/07/2018,cotton,10,Solari,58,13,6,South_North
27/07/2018,cotton,10,Tap,59,12,6,South_North
27/07/2018,cotton,10,Cashido,60,5,4,South_North
30/07/2018,cotton,1,Tap,31,14,6,North_South
30/07/2018,cotton,1,Solari,32,13,7,North_South
30/07/2018,cotton,1,Cashido,33,14,6,North_South
30/07/2018,cotton,2,Tap,34,14,7,North_South
30/07/2018,cotton,2,Solari,35,15,7,North_South
30/07/2018,cotton,2,Cashido,36,15,7,North_South
30/07/2018,cotton,3,Tap,37,14,6,North_South
30/07/2018,cotton,3,Solari,38,13,7,North_South
30/07/2018,cotton,3,Cashido,39,14,6,North_South
30/07/2018,cotton,4,Tap,40,15,6,North_South
30/07/2018,cotton,4,Solari,41,15,6,North_South
30/07/2018,cotton,4,Cashido,42,14,6,North_South
30/07/2018,cotton,5,Tap,43,14,6,North_South
30/07/2018,cotton,5,Solari,44,13,6,North_South
30/07/2018,cotton,5,Cashido,45,13,6,North_South
30/07/2018,cotton,6,Solari,46,11,7,South_North
30/07/2018,cotton,6,Tap,47,14,6,South_North
30/07/2018,cotton,6,Cashido,48,15,6,South_North
30/07/2018,cotton,7,Solari,49,14,6,South_North
30/07/2018,cotton,7,Tap,50,15,7,South_North
30/07/2018,cotton,7,Cashido,51,14,7,South_North
30/07/2018,cotton,8,Solari,52,13,6,South_North
30/07/2018,cotton,8,Tap,53,14,6,South_North
30/07/2018,cotton,8,Cashido,54,14,7,South_North
30/07/2018,cotton,9,Solari,55,14,6,South_North
30/07/2018,cotton,9,Tap,56,15,7,South_North
30/07/2018,cotton,9,Cashido,57,14,6,South_North
30/07/2018,cotton,10,Solari,58,15,6,South_North
30/07/2018,cotton,10,Tap,59,14,6,South_North
30/07/2018,cotton,10,Cashido,60,7,5,South_North
21/08/2018,cotton,1,Tap,31,32,9,North_South
21/08/2018,cotton,1,Solari,32,35,9,North_South
21/08/2018,cotton,1,Cashido,33,35,9,North_South
21/08/2018,cotton,2,Tap,34,35,9,North_South
21/08/2018,cotton,2,Solari,35,34,9,North_South
21/08/2018,cotton,2,Cashido,36,44,9,North_South
21/08/2018,cotton,3,Tap,37,38,9,North_South
21/08/2018,cotton,3,Solari,38,35,9,North_South
21/08/2018,cotton,3,Cashido,39,36,9,North_South
21/08/2018,cotton,4,Tap,40,44,9,North_South
21/08/2018,cotton,4,Solari,41,38,8,North_South
21/08/2018,cotton,4,Cashido,42,36,9,North_South
21/08/2018,cotton,5,Tap,43,,,North_South
21/08/2018,cotton,5,Solari,44,33,10,North_South
21/08/2018,cotton,5,Cashido,45,32,9,North_South
21/08/2018,cotton,6,Solari,46,32,9,South_North
21/08/2018,cotton,6,Tap,47,33,9,South_North
21/08/2018,cotton,6,Cashido,48,30,8,South_North
21/08/2018,cotton,7,Solari,49,36,9,South_North
21/08/2018,cotton,7,Tap,50,37,9,South_North
21/08/2018,cotton,7,Cashido,51,35,9,South_North
21/08/2018,cotton,8,Solari,52,34,9,South_North
21/08/2018,cotton,8,Tap,53,37,9,South_North
21/08/2018,cotton,8,Cashido,54,34,9,South_North
21/08/2018,cotton,9,Solari,55,37,9,South_North
21/08/2018,cotton,9,Tap,56,38,9,South_North
21/08/2018,cotton,9,Cashido,57,41,9,South_North
21/08/2018,cotton,10,Solari,58,37,10,South_North
21/08/2018,cotton,10,Tap,59,34,9,South_North
21/08/2018,cotton,10,Cashido,60,27,8,South_North
31/08/2018,cotton,1,Tap,31,37,11,North_South
31/08/2018,cotton,1,Solari,32,39,10,North_South
31/08/2018,cotton,1,Cashido,33,38,11,North_South
31/08/2018,cotton,2,Tap,34,39,10,North_South
31/08/2018,cotton,2,Solari,35,39,10,North_South
31/08/2018,cotton,2,Cashido,36,48,10,North_South
31/08/2018,cotton,3,Tap,37,43,10,North_South
31/08/2018,cotton,3,Solari,38,39,10,North_South
31/08/2018,cotton,3,Cashido,39,39,10,North_South
31/08/2018,cotton,4,Tap,40,49,10,North_South
31/08/2018,cotton,4,Solari,41,41,10,North_South
31/08/2018,cotton,4,Cashido,42,38,10,North_South
31/08/2018,cotton,5,Tap,43,,,North_South
31/08/2018,cotton,5,Solari,44,38,10,North_South
31/08/2018,cotton,5,Cashido,45,38,10,North_South
31/08/2018,cotton,6,Solari,46,35,10,South_North
31/08/2018,cotton,6,Tap,47,38,10,South_North
31/08/2018,cotton,6,Cashido,48,32,8,South_North
31/08/2018,cotton,7,Solari,49,41,10,South_North
31/08/2018,cotton,7,Tap,50,42,11,South_North
31/08/2018,cotton,7,Cashido,51,39,11,South_North
31/08/2018,cotton,8,Solari,52,39,9,South_North
31/08/2018,cotton,8,Tap,53,42,10,South_North
31/08/2018,cotton,8,Cashido,54,38,10,South_North
31/08/2018,cotton,9,Solari,55,41,11,South_North
31/08/2018,cotton,9,Tap,56,44,10,South_North
31/08/2018,cotton,9,Cashido,57,46,10,South_North
31/08/2018,cotton,10,Solari,58,43,11,South_North
31/08/2018,cotton,10,Tap,59,38,10,South_North
31/08/2018,cotton,10,Cashido,60,35,10,South_North
